Date,Open,High,Low,Close,Volume,Spread
2022-05-06,1.2362,1.238,1.22757,1.23386,208332,11
2022-05-09,1.2325,1.24056,1.22608,1.23355,159994,11
2022-05-10,1.23355,1.23755,1.22914,1.23068,163882,10
2022-05-11,1.23065,1.24001,1.22316,1.22332,183328,12
2022-05-12,1.22331,1.22481,1.2165,1.22042,199709,11
2022-05-13,1.22043,1.22613,1.2155,1.22585,121930,8
2022-05-16,1.22567,1.2329,1.22167,1.23254,126954,8
2022-05-17,1.23248,1.24988,1.23203,1.24867,152120,10
2022-05-18,1.24865,1.25008,1.23292,1.23437,120382,10
2022-05-19,1.23437,1.25244,1.23377,1.24624,153087,11
2022-05-20,1.24628,1.25,1.24373,1.24792,123570,12
2022-05-23,1.25032,1.26007,1.24995,1.25669,115625,10
2022-05-24,1.25666,1.25981,1.24713,1.25409,131752,10
2022-05-25,1.25409,1.25942,1.24807,1.25856,131066,12
2022-05-26,1.25852,1.26206,1.25515,1.26166,129250,10
2022-05-27,1.26165,1.26663,1.25858,1.26275,97388,11
2022-05-30,1.26239,1.26596,1.26159,1.26452,108096,13
2022-05-31,1.26452,1.26485,1.25601,1.26092,122063,11
2022-06-01,1.26092,1.26162,1.24584,1.24833,115663,10
2022-06-02,1.24833,1.25861,1.24691,1.2578,92174,8
2022-06-03,1.25779,1.25895,1.24845,1.24859,95447,12
2022-06-06,1.249,1.25773,1.24763,1.25229,102136,11
2022-06-07,1.25229,1.25992,1.24299,1.25869,143329,11
2022-06-08,1.2587,1.25889,1.25129,1.25399,110862,11
2022-06-09,1.25398,1.25584,1.2486,1.24922,128122,10
2022-06-10,1.24921,1.25174,1.23008,1.23077,138646,10
2022-06-13,1.22763,1.23002,1.21067,1.21417,185819,13
2022-06-14,1.21419,1.22077,1.19332,1.20106,207808,14
2022-06-15,1.20106,1.22045,1.1989,1.21744,248474,10
2022-06-16,1.21741,1.2406,1.20403,1.23497,227016,12
2022-06-17,1.23497,1.23525,1.21723,1.22186,175080,14
2022-06-20,1.22275,1.228,1.21989,1.22477,128027,14
2022-06-21,1.22475,1.23242,1.22446,1.22635,126772,11
2022-06-22,1.22634,1.23143,1.21606,1.22517,166088,12
2022-06-23,1.22513,1.22942,1.21695,1.22593,166409,11
2022-06-24,1.22594,1.23202,1.22403,1.22622,124851,11
2022-06-27,1.2282,1.23321,1.22378,1.22659,144259,12
2022-06-28,1.22658,1.22912,1.21746,1.21872,154074,11
2022-06-29,1.21871,1.22127,1.21056,1.21285,174233,11
2022-06-30,1.21284,1.2188,1.20916,1.21597,164562,12
2022-07-01,1.21597,1.2161,1.19757,1.20913,152096,11
2022-07-04,1.20996,1.21648,1.20842,1.2113,112944,12
2022-07-05,1.21128,1.21251,1.18985,1.19506,167614,13
2022-07-06,1.19505,1.19891,1.18756,1.19214,198224,12
2022-07-07,1.19217,1.20333,1.19083,1.20286,161147,11
2022-07-08,1.20288,1.20554,1.19191,1.2029,163706,11
2022-07-11,1.20175,1.20193,1.1866,1.18986,174629,14
2022-07-12,1.18987,1.19156,1.18072,1.18774,187345,13
2022-07-13,1.18774,1.19668,1.18271,1.18635,227842,12
2022-07-14,1.18634,1.18838,1.17599,1.18403,259268,11
2022-07-15,1.18401,1.18743,1.18042,1.18613,183102,13
2022-07-18,1.18896,1.20334,1.18739,1.19484,159262,11
2022-07-19,1.19482,1.20452,1.19246,1.20018,176549,11
2022-07-20,1.20017,1.2037,1.19532,1.19674,185001,11
2022-07-21,1.19673,1.20036,1.18896,1.19949,209050,11
2022-07-22,1.19948,1.20639,1.19161,1.19972,206162,11
2022-07-25,1.19849,1.20864,1.196,1.20531,157319,12
2022-07-26,1.20535,1.20898,1.19635,1.2035,153086,11
2022-07-27,1.20352,1.21858,1.20203,1.21616,184438,13
2022-07-28,1.21616,1.21913,1.21029,1.21723,195111,11
2022-07-29,1.21724,1.22454,1.20627,1.21745,186115,12
2022-08-01,1.21675,1.22931,1.21622,1.22566,148501,13
2022-08-02,1.22566,1.2279,1.21401,1.21428,201237,13
2022-08-03,1.21426,1.22075,1.20997,1.21375,156999,13
2022-08-04,1.21375,1.22147,1.20655,1.21578,145848,11
2022-08-05,1.21579,1.21687,1.2003,1.2067,140743,14
2022-08-08,1.20604,1.21373,1.2047,1.20848,128467,13
2022-08-09,1.20847,1.21299,1.20627,1.2071,105155,11
2022-08-10,1.20708,1.22766,1.20645,1.22106,130144,13
2022-08-11,1.22106,1.22491,1.21818,1.21941,136604,13
2022-08-12,1.21942,1.22162,1.20993,1.21314,119792,13
2022-08-15,1.21268,1.2148,1.20497,1.20558,110790,11
2022-08-16,1.20557,1.21175,1.20073,1.2094,103624,13
